question_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
210057857304,B,E,C,A,B,C,C,A,D,E,C,B,E,D,B,D,A,C,D,D,C,E,E,C,E,A,C,C,E,E,C,E,D,C,B,A,A,D,E,C,A,D,E,C,B
210054578718,E,B,D,C,E,B,B,E,A,E,C,B,E,D,A,E,E,C,D,A,A,C,A,C,D,C,D,A,E,B,D,B,E,A,E,A,C,E,B,C,B,A,E,A,C
210056894240,D,A,C,E,E,C,C,A,D,D,B,B,D,A,E,D,C,A,C,A,E,E,D,C,C,B,A,E,D,A,C,D,B,B,D,A,E,E,B,A,E,D,D,E,E
210054569925,B,C,E,C,D,B,C,A,D,E,B,A,A,C,C,E,A,C,E,A,E,E,E,C,A,D,C,D,E,C,E,B,A,A,C,E,A,D,E,D,C,D,E,E,E
210055065513,B,E,C,C,B,C,C,D,D,B,C,B,B,C,A,B,A,C,C,A,C,E,D,C,B,A,A,B,D,B,A,B,A,B,C,E,A,D,B,A,C,D,E,C,B
210057325061,B,D,E,D,D,B,C,B,D,B,C,C,B,E,D,B,B,C,C,A,E,E,C,D,B,A,E,A,E,E,E,B,E,B,D,E,A,D,A,D,A,C,B,A,E
210056678210,E,B,B,A,B,A,C,D,D,A,B,E,E,E,C,D,E,C,A,A,C,E,A,A,A,C,C,C,E,A,A,A,D,C,B,A,E,E,A,C,.,D,E,C,A
210055874340,E,C,E,C,B,D,E,D,E,E,E,B,D,C,A,A,C,A,C,C,A,B,E,B,A,C,D,C,C,C,C,E,A,C,C,D,B,E,E,D,B,D,E,A,A
210056660256,B,D,C,D,D,C,C,B,D,C,C,A,B,A,C,B,A,C,A,A,E,E,C,A,B,A,E,E,A,E,E,B,A,E,D,C,A,D,B,D,.,B,B,A,B
210056783615,B,D,A,C,D,B,C,A,E,B,C,D,A,B,C,E,A,E,B,A,A,E,B,A,A,A,C,A,E,C,A,E,A,A,E,C,A,E,B,E,B,D,D,E,E
210057640493,D,A,E,D,B,C,C,C,D,A,D,B,D,D,C,B,D,B,E,A,D,E,A,E,B,A,E,A,E,A,E,B,A,B,D,E,D,C,B,A,E,D,A,E,E
210057974205,B,D,E,C,D,C,C,B,D,B,C,C,A,B,C,B,B,C,E,A,B,E,C,B,B,A,D,A,E,E,E,B,A,C,A,A,D,B,E,A,B,D,E,A,C
210054511141,E,A,D,C,E,C,A,C,D,E,B,D,D,D,C,A,C,B,E,A,A,C,E,A,D,C,A,E,E,D,E,D,B,C,A,D,C,D,C,D,A,C,E,E,B
210056001481,B,E,B,D,C,C,C,C,D,A,B,B,D,E,D,B,B,A,E,A,E,E,C,A,A,A,D,B,A,A,D,A,E,A,E,A,A,C,B,A,C,B,B,A,E
210056704764,A,D,B,D,A,C,C,C,D,B,C,D,E,A,E,C,B,E,E,A,B,C,C,A,C,A,C,C,E,C,A,C,E,B,C,B,C,D,D,C,B,D,C,A,E
210054689530,B,E,C,E,B,A,C,C,C,D,B,B,B,C,C,E,B,C,D,C,E,B,E,B,B,B,C,B,D,C,B,C,B,A,D,B,C,E,E,B,A,B,B,C,C
210057639547,A,C,D,B,E,B,C,A,D,C,D,A,B,E,C,A,E,E,A,A,D,C,B,D,C,A,E,C,B,A,E,B,C,A,E,B,D,C,C,A,E,B,C,A,E
210055191725,A,B,B,D,A,E,C,A,E,A,E,B,D,E,E,E,B,C,B,E,B,E,C,E,C,E,A,E,C,C,B,D,B,D,D,B,D,D,E,A,A,D,B,C,C
210057195742,A,B,D,E,E,C,C,B,D,B,B,E,D,D,C,B,E,A,D,A,E,E,D,A,C,A,D,A,C,E,D,A,A,C,B,A,C,D,E,D,B,D,B,A,A
210057794248,E,A,D,C,E,C,C,D,D,B,C,B,A,C,C,C,C,B,C,A,B,D,A,B,E,D,C,A,B,E,D,E,A,C,D,E,A,C,A,D,C,D,E,C,A
210056464839,B,A,A,D,C,B,C,D,D,A,C,A,B,E,C,B,B,B,D,A,D,E,D,E,B,A,C,A,C,E,C,D,A,C,D,D,C,E,B,A,D,C,A,D,B
210057379472,D,A,B,D,B,C,E,B,D,E,C,B,C,A,D,D,B,C,B,A,D,C,C,C,B,D,C,B,E,E,D,D,A,C,E,A,E,D,D,C,C,A,B,A,B
210056021461,B,E,E,D,D,B,A,B,E,C,C,A,D,B,A,C,E,A,C,D,A,E,E,A,C,A,C,E,E,D,A,D,E,B,C,A,D,D,C,A,D,C,A,C,E
210054599057,B,D,E,D,D,C,C,C,D,A,C,C,B,A,C,B,B,A,A,A,A,B,C,A,D,A,C,A,A,C,A,E,A,A,D,C,A,D,B,C,B,B,B,A,A
210057524660,C,C,C,E,D,E,A,C,D,A,B,C,E,D,D,A,C,D,D,E,E,E,E,C,B,C,C,D,C,E,E,A,B,E,C,B,B,D,B,C,B,B,C,E,B
210055803523,B,D,E,D,D,C,C,B,D,A,B,D,B,C,B,B,B,A,B,A,E,E,D,B,E,A,D,A,A,A,A,B,A,E,A,C,A,E,B,A,C,D,E,A,E
210056002472,B,D,A,D,B,B,A,C,D,C,C,C,B,D,C,C,A,D,E,A,C,E,D,D,C,A,E,E,A,C,B,E,E,C,C,E,A,D,D,B,C,D,B,A,B
210054994585,A,A,D,B,E,C,C,C,D,A,C,C,B,D,C,B,A,D,B,A,D,E,C,D,B,A,E,C,A,C,B,B,E,C,D,D,A,D,B,E,B,E,B,A,A
210055501093,A,A,D,C,E,C,B,C,D,E,C,B,B,C,E,B,B,B,D,A,E,E,B,A,D,A,E,E,E,C,E,B,C,E,C,A,A,C,D,C,C,D,C,E,E
210057912640,B,A,E,C,E,C,C,B,D,A,E,A,A,B,C,E,B,A,B,B,E,E,D,A,A,A,B,C,C,D,E,D,E,B,A,B,C,D,A,E,B,D,B,A,A
210057891765,A,A,E,E,E,C,C,E,D,A,C,D,B,D,C,B,E,C,C,A,B,B,E,B,D,E,C,A,E,C,C,E,E,A,E,A,C,E,B,D,D,D,B,A,A
210054754042,C,A,A,A,E,C,C,A,D,B,D,C,A,B,D,D,A,D,B,D,C,B,C,A,D,D,C,D,B,A,A,A,A,B,B,B,B,D,E,C,E,D,C,C,C
210056566761,B,D,E,D,D,C,E,C,D,A,D,E,B,E,C,B,D,A,C,A,E,A,A,E,C,D,D,E,D,A,D,A,E,A,E,D,B,D,B,E,B,E,E,C,B
210054601601,B,D,E,C,D,C,C,C,D,A,C,B,A,B,C,B,A,A,A,A,D,E,C,D,B,A,E,A,A,C,E,A,A,B,E,A,A,D,B,D,B,D,E,A,A
210056363951,B,A,A,A,E,A,C,C,D,C,B,C,B,A,C,B,B,C,B,A,E,C,C,A,B,A,A,A,A,C,C,B,A,C,E,B,A,B,B,A,A,D,B,C,A
210057723308,D,B,D,B,E,B,E,E,B,A,B,B,C,E,C,E,B,A,E,D,A,E,E,B,B,A,E,E,A,C,B,A,E,D,D,D,A,C,E,C,D,A,B,C,D
210055101025,D,A,D,C,E,B,B,A,D,E,C,B,A,B,E,A,E,C,A,D,E,C,E,A,D,C,A,A,B,D,A,B,B,C,D,A,C,B,A,A,D,A,C,A,B
210054669098,A,D,C,C,E,C,C,C,D,E,B,A,E,A,C,B,B,C,B,A,A,E,E,A,B,A,C,A,C,C,E,B,A,E,C,C,A,D,B,A,B,D,B,C,D
210057596830,B,D,E,D,D,B,C,A,D,A,C,B,B,A,C,B,C,B,E,A,B,E,D,A,B,A,D,A,E,A,B,D,A,C,A,E,A,D,B,D,C,D,E,A,A
210056805132,D,E,E,D,D,C,D,B,D,A,C,C,A,C,C,B,C,A,B,A,A,E,C,D,C,A,D,C,E,B,D,A,A,E,A,A,E,D,D,D,B,C,B,E,B
210054617670,B,C,E,E,A,A,A,E,.,E,B,A,E,A,B,E,B,C,D,D,E,D,E,E,B,A,D,C,E,D,E,A,C,D,C,A,C,E,D,A,E,D,C,A,D
210057614162,B,B,E,D,B,B,C,D,D,A,C,D,A,D,D,B,A,B,C,A,E,E,E,E,A,A,C,A,A,D,B,E,A,E,E,C,A,E,E,A,C,D,A,A,B
210054858575,B,A,C,A,D,A,C,E,A,D,E,B,D,E,D,C,A,D,B,E,B,D,C,B,C,C,B,D,E,D,E,C,E,D,B,D,B,C,A,D,A,C,A,C,B
210055861502,C,E,C,B,D,C,C,A,D,E,D,B,C,D,B,A,A,C,E,A,E,D,E,E,A,A,D,B,B,C,E,E,A,A,A,A,C,D,B,A,E,D,B,A,A
210057500497,A,A,D,E,D,D,E,B,E,B,C,B,C,A,E,B,E,A,E,D,C,D,E,B,E,E,C,A,E,E,E,A,C,C,E,D,A,E,C,A,A,A,C,B,B
210056933390,A,A,A,C,B,C,E,E,D,C,C,D,B,E,C,E,E,B,E,A,D,E,E,A,D,D,C,A,E,E,E,E,E,C,E,A,C,E,D,B,C,D,C,A,C
210056018821,B,D,E,D,D,C,A,B,D,A,B,B,E,C,C,B,A,D,E,A,B,E,E,A,D,C,C,A,E,C,A,D,A,C,D,A,A,E,B,A,B,D,B,E,C
210056687476,B,D,E,D,D,C,C,D,D,B,C,C,A,E,C,B,A,C,B,B,E,E,D,A,B,A,C,A,A,E,E,C,A,B,D,C,A,C,C,B,E,D,B,A,D
210056899093,D,E,D,D,A,C,C,B,E,B,D,B,B,C,D,B,A,B,D,D,B,E,C,D,C,B,C,A,E,D,C,D,A,A,D,A,A,B,B,E,C,D,A,E,D
210056563562,A,A,D,A,E,C,C,D,D,A,B,B,B,A,C,B,B,B,A,A,E,C,C,A,A,A,C,A,B,C,A,B,A,C,E,E,A,B,B,A,B,D,B,A,C
210054633944,A,A,B,E,E,C,E,B,E,E,A,A,E,C,A,D,B,C,A,A,D,E,E,B,B,E,D,A,A,E,E,A,B,C,A,E,C,E,A,A,B,B,E,E,A
210057242306,C,C,A,C,E,D,C,B,E,A,C,B,D,A,C,C,E,B,D,D,B,C,D,A,E,C,B,D,A,D,C,D,A,C,C,A,C,D,B,C,B,D,E,A,E
210055753995,B,B,E,C,D,C,C,E,D,E,D,A,B,E,C,B,D,A,E,A,C,E,E,A,C,A,D,A,C,E,C,B,A,E,E,A,D,E,B,D,D,D,A,E,C
