NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2022,9,M,1,1,1,1,7,1,,0,,,,,,,,1500800,Ananindeua,15,PA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,546.3,541.2,505.1,623.6,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,100.0,120.0,100.0,560.0,B,E,A,A,1,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
2022,1,F,1,1,1,3,0,1,,1,,,,,,,,2510808,Patos,25,PB,1,1,1,1,1087.0,1057.0,1068.0,1078.0,562.8,562.9,539.7,634.3,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,80.0,120.0,120.0,120.0,120.0,560.0,G,G,E,E,4,I,D,E,E,B,A,B,C,B,A,B,A,B,E,B,B,E,A,E,B
2022,3,F,1,1,1,3,0,1,,1,,,,,,,,3538709,Piracicaba,35,SP,1,1,1,1,1087.0,1057.0,1068.0,1078.0,456.7,535.5,569.7,551.7,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,160.0,120.0,120.0,120.0,640.0,F,G,B,B,3,E,A,B,C,B,A,B,B,B,A,B,A,A,B,A,A,D,A,A,B
2022,10,M,1,2,1,1,7,1,,0,,,,,,,,2613909,Serra Talhada,26,PE,1,1,1,1,1087.0,1057.0,1068.0,1078.0,628.4,633.9,666.8,710.7,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,200.0,160.0,200.0,180.0,880.0,D,E,C,B,3,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,C,A,B,B
2022,9,F,1,1,1,1,4,1,,0,,,,,,,,3304557,Rio de Janeiro,33,RJ,1,1,1,1,1087.0,1057.0,1068.0,1078.0,449.4,467.5,451.3,415.9,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,6.0,0.0,0.0,0.0,0.0,0.0,0.0,D,G,F,B,3,B,A,B,B,A,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
2022,2,F,1,3,1,2,0,2,1.0,0,,,,,,,,5221403,Trindade,52,GO,1,1,1,1,1087.0,1057.0,1068.0,1078.0,419.8,434.7,469.1,525.9,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,180.0,120.0,120.0,160.0,700.0,E,E,B,B,4,C,A,B,C,B,A,B,A,A,A,B,A,A,B,A,A,C,A,B,B
2022,1,M,1,3,1,3,0,1,,1,,,,,,,,1501808,Breves,15,PA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,402.3,443.7,489.5,366.9,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,4.0,0.0,0.0,0.0,0.0,0.0,0.0,H,F,F,B,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
2022,2,M,1,3,1,3,0,1,,1,,,,,,,,2102804,Carolina,21,MA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,412.6,448.4,458.9,540.5,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,200.0,160.0,180.0,180.0,860.0,C,C,A,A,4,B,A,B,D,B,B,B,B,A,A,A,A,A,B,A,A,C,A,A,B
2022,3,M,1,2,1,2,0,2,,0,5203559.0,BonfinÃ³polis,52.0,GO,2.0,1.0,1.0,5220603,SilvÃ¢nia,52,GO,1,1,1,1,1087.0,1057.0,1068.0,1078.0,478.5,351.3,348.8,381.5,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,4.0,0.0,0.0,0.0,0.0,0.0,0.0,B,B,B,B,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
2022,12,M,1,1,1,1,9,1,,0,,,,,,,,2704302,MaceiÃ³,27,AL,1,1,1,1,1087.0,1057.0,1068.0,1078.0,398.2,431.2,437.3,431.4,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,100.0,40.0,100.0,120.0,140.0,500.0,C,C,C,A,3,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
