NU_INSCRICAO,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT
210055745599,ABCBBCACAADBBDEBDBCEEBCDACCCCDBABDECAEBACABEA,DBECBBBCADCDACECBABBCACEDDBEAAEABEAEBCDADDAAB,BCEDDCCDDBDBEACEDCBACDECAAEACDEBCAACCADEBDCBA,DCDCEABCADCBBAADBACCCBBDABADCEBECDEECDCEBACDB
210057372555,DCEADCAABDBCADCEBACCADCDBEBDBEBCBCCADADADEABC,EBDABCCDDCECDCBDEEDBAACDDEADBDDEDACABCBAAAEEB,DAECADECCCCACBAAADACEDECABAAEAAABDACEDACEBDBB,BBEDABCCDCBAEACECCCDCEEEBDCBDEACECCDDACBBEECD
210055322073,CACBDCEEDADACCCBCEDBCDCACBAABEEDAECCCBACBABAE,BEBEAEDEDEAEACDAEDADDCDEEDACACEAEECDBAACDCEDD,BCAEACAEDDBCBAEACAACEDECCCEABBCAADCAEBCADEDED,CCAACDCBADBEDCCBABCECBCCDEBEACCACCDEBDDECDDBA
210054940181,,,,
210056692354,,,,
210055945790,,,,
210056126575,,,,
210055861993,ADDCABAEACDBBECBACEBDEDCDCACADAEBABCBCBCBEDBD,EBBABEADEBEBCDBADDDDBDCAEEACABBDDBCABEBAAAABD,ABEDCCDBCACEDEAEBDABCCEBEABACACAEDECACCBADDEB,BEEAACCAEACAEABCDECBECDACEABECADACEBADBCDABAE
210056213106,ACDCCBEBAAACEBDDCBDEBABCDEACDEAEBEDCBDBADEBCC,EBDABEDEAEEBEDBDEEDBACDBDCADBECEDCCA*DDEBBABC,CDBAADDBCADAABAAADECCEDCEDBAAEBBDCECDCADBEACB,ABCCACBEECBDEBDDCDECBACDADABCABCDAEDBCDEAEABA
210056406426,,BADCABBACBACCCBCAAEABADDAEAECBAEBBBBAEAACDEAC,AADEECCDDECCDEBBACAAEEDABADEBBAAACCDADBCBDEAD,
210055085713,AACDBCBAADEACBBBADEEBDDDCACBCABBCACCABDCEDDCD,DCABEDDBCBDCAABCAADBEADEBECDABDBDBADBEADECAAB,CADCECCDDBCEBDCCBAAAECECBACEBEEACADBECDCABECA,EBECADEBCDCBADBCDBAEBDDAEDECBEDABDEBDACECADBB
210056525167,EDDBBAECACEADABEBDDCADBECBACCBDACAABDABCDADDD,EBCCEBBDDBACADBDAAADBEAEBEDBEBDECEEBADADADDAB,BDBDDCCCEBCAACCBDABAEEEABAEAECEBEAEABDAABCEAE,CADCABDACECDAECDDAABBDBECACBBCDCBDCABDCEBACBE
210057226583,DEDBBCEADBEBDDDDAAADDDAEECABABBDCCEBEECCEEBAC,DDBBDCBDAAADBADABABBDBAACBCCCAAAABCDBCECDBCBA,CDBDEDADDEBEBBDBDBDDACEEBCEEBBDDABDEADACDDBAB,CDCCDBAEBCAC...DCBAEDCBDBEBEBCCBDBEDECDDCEBBB
210056094856,CEAABDBABDCAAABEBBEEBCBAEDABECEEBBECDDBEDACAC,DEABAADABBACDCEBCDCBADDAACBDBECAACDEBEBDACBCB,EDCBACCBAEBBEDBDBBCCDAAEBCBADCABAEECCAAEDCECA,ACDAECDEECDCDCBCBECBDEABCAEBBEABEDDBACBDAEAAD
210055976170,DBAEDCCCDCAABEDEBAECCECCAEECBDBCDAAEDCDCBEDEB,EAACBADEADCBBBCBCDBCACABDCEAEEADBDEABBEDAAABB,DECDBEDBCCEAADEACDECECCEBEBAECEAEDBCCCABEEDBA,BEBBACABADCEEBBE*DADCDCECAAEDCAECABDADACADDAC
210057061266,BBBBBBCCCCACEAADDDDDBBCDDBBBBBAAADDDBBBBAAAAA,DEABBCEEDCADEBECBDABADEAAEAACBCAEDACAAEABBAAA,ABABABADAEADDDBBACABDECCBEDDAEAEAEECDBADDABEA,DDDCEBBEBBEEAAEBEEBBBBBBCCCCCECCCCBBBBB*DDDDD
210056560373,ABCAEABBCEDDAACCABBCCDDEEAABCDBCADEEDCCBBAADE,DBEDCEABCABEBBACEBCAAEABDEDAACEBEDCBDACDBCCAE,DDABCCAADDEDEABDAEEBBAEDCBDAADCCDACACBDEBDAAE,DBCAECBEACDCBCACDDBACDBEAEABADAABCCEDCBCAACDE
210055624953,DCDDCDBABBBCDBAEDCBCBDAEEB*DBDBCADEECBDCDBCAD,BDDBABADDBDAADACCBCEACADBEACEADAECDECDEBBAEAB,AADACDDBCAEADAEBBDCCCBEAACAACBEACDBCBBCBAECCC,CDBAEBDCEDCBCBCCDBCDCEABAACDBEAEECABADDBDCBCB
210057153840,,,,
210054616341,DBEACCCEEEADBCEEBEECDECDBBBCACDCEADBADDADBBCE,ABBAAEDEBCCBBDBBCBACDAADEBDEEEADCEACBAEBBABED,CBEECCEDDDBDEDCECBCDEBCCDEBCEBBEBDEDEDDDADDEA,EBEAECCCCBBCAAEAABDDEDCADECDDBEBCBDACCDBBECDE
210057923356,BCDABCDDCEEDADDCABABADDDACBBEBBCECACDADCABEBA,CEABEADBEBBACEDCECCDBDDDADEBBDCADBEEBEABEBACC,BCCADBCDABDADAABECBBBACEBCBCCBEADDEADCDBEABCE,DADEECBEECBCEACDAEEBACEDCDAADCABECDAEBCCBAEBA
210056362369,EDBBDCBABAECEEACCDDDBEECABCACE...CCBD.C....CA,EBCEEBBDDEACDDBDAAADEBDDAECBEBDECBEBAEEDAAEAB,AADAECCCDCDABCCBCADAEECBAAEBEEEBDDDAAEBECBADA,BCABD.DD.........CB.A..CCBE............EEAE.E
210054489745,DEACDCACECBCBBEBCCCBAEEDAEEDCEAEBAEBBEDCBEDCA,EBBEBAEDBDEBBABACDECACACDADDBBAEDDEAECECAAAEC,DECDBDDBCACACECEADECCBCEAEBACBBABDBCBCADEECBB,ABADEBBBDCCBDDECCBEECDEBDABBBEEABDAADCEEACDCD
210056759904,ADBCCCCAACEBBCADEAECABDACCAADBBBDDECABAAAAEAE,ABADAADDCEEAECEDECAEDECBEACCEEBABEAADAAEBCDCA,ABBEEACEAEEDCCAEAAACECEEDAEAAEDBBDABEAAEDACED,EDACADEEEDAEDBDBEBAABDEABCCAAECDBBEEDBEECEEAC
210056752681,ABDACCCDBDADDEDDEBEBCCCBCDBEDACABCCDDDBDDCCEC,DAABCACCADADCADEAAEBAAAEDEEBEDBCDCEAEEEEBCEDE,EDDDEBECAAAECDEADDCBDAEEBEBDBEBEEDECADACCBDEE,BACEBBDEECECCBCBBDDAEEEBBBBCCCACAABDCBADDCEDD
210055923010,CBAEDDCABDDDDEDBABEEACAADBDBCCCEBBBDABCEDEAEB,BEABACDEBDAADCBBBEAADCBBBBBBABBAAEBDCECDDADCB,DBDCBDDEACABDDEDBDDBAACDBCBDDEAEEDBCACAEBCCDB,AADAECCECCACECBECCCBDEBAADBBBEABDBCCDBAADEEBE
210055319266,CEDEDCCBEAAECEAEBBBBCBCABBECCBDDAAABAADCEBDCD,CBCAADDCEBCEDCDAAEABBABCAEADBCBABBDAEABDBBACD,CDBEDAAABDDDBECCEBECEEEABACABCEAAACBCCAEDACCB,CCBCEDCACBBCBEDBDAADBBCCBDCEACAECCEBCBDDABAAD
210057898768,ADBAAEDEACBEEEBDCBDDABACBBCCDEBAABDBEAEECDDCA,CBDCDBBCDEACDCEDAAADBADDEEDDCBAECBEBACEDAAEAB,AACCECCBDCCAAACBBAAACECABAEAECEBAEDAADBEBDBAE,EBDADECACDECDBACEBCBADCBEACDBAAACEBABDCEDAEBB
210055521684,,,,
210057853208,,,,
210057800464,EAEECDCAEBAADAAEBACCDBCACBBAAEEDEDBAEADEAADBB,CCAABEDBACADCEBAAACCCBAEBAAEABCDAACAABBCADCCA,BAEAECCDBAEBBDBBEAABBACEECDDEDAEDBEAEDAEAAAEB,CCCDBBBEEADEBACEBACAEACABAEEAEEAABCCABEDCACAA
