NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210056766600;2022;1;M;1;3;1;3;0;1;;1;;;;;;;;5208707;Goiânia;52;GO;1;1;1;1;1086;1055;1065;1076;487.1;509.4;456.9;631.2;DBDD*EBBBECECDBCADBAEBCEABBCEDBCEBDDDECDAECBA;DEABCDAEBCAEBCDEDCBACDEABDCCEBBDCAEBCBADECBDA;DCBDDBEBABADADBADECDEBCDCCBDAEDDBCDBBABEDACDB;BAAABCDBEDACCCEAAECBCDDACDCCBBDADBDDBEBEBCBEA;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;120;160;120;120;0;520;E;F;C;E;3;D;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;D;A;C;B
210054518526;2022;13;F;2;1;1;1;10;1;;0;;;;;;;;4316907;Santa Maria;43;RS;1;1;1;1;1087;1056;1066;1078;436.9;443.9;376.1;461.2;CCDEACCDEBDBBACCCAECCACACAAEABABDAACEDCAECEEC;EDCBECCECBCBEDCDCCEBADCDEECDDCDABEDEBCEAEAEBA;EECACEBEBBDDDBDCEEBEDCECDAAEEAEDCDAABEBBDDEBA;ABECCACECCDAEABEACADECECAEECCCECCECBADEECABBD;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;6;0;0;0;0;0;0;B;B;B;B;4;B;A;B;B;A;A;B;A;B;B;B;A;A;B;A;A;B;A;A;A
210055865392;2022;4;F;1;1;1;1;2;1;;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;1087;1056;1066;1078;673.9;648.9;680.1;756.7;DBACDCEADCAABEDECCCCDBEBDDAEBEAAAABCCAAEBDBDB;ECAEBCDDAAECACBBCADDAECCBCEDBEBDDDEABABDAAADC;DEDDBDDBCACADCAAADACEDEEBEBEBAAABDBCCCDBEECBB;BEEDACABDCCBBBBAAAAACDEBBCCECCCABDECADADADDBD;0;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;160;200;160;180;140;840;C;E;D;D;4;E;A;E;D;E;A;C;C;B;A;B;B;B;E;B;B;E;A;C;B
210055151655;2022;4;F;1;1;1;1;1;1;;0;;;;;;;;2211001;Teresina;22;PI;1;1;1;1;1086;1055;1065;1076;638.7;628.9;590.6;601;EADCCABEBBBCDAACBBABCECAABEAEBBAEDECBCCDDAEEC;DEABCEDAEDBDECEECDCBDDDBABDEAECDEABDBBDDCBDCC;DCBDEEDDACABBDBCBECDCABEBCBBDCDAADCCECDCDBDEC;ECDBCCACBDACBBACDDEDBCDECEBCBBABDBBECACDABDAC;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;160;200;160;160;200;880;F;G;D;D;2;H;A;B;C;B;A;B;A;B;B;B;A;A;C;A;B;C;A;B;B
210057172019;2022;11;F;2;2;1;1;12;1;;0;;;;;;;;2910800;Feira de Santana;29;BA;1;1;1;1;1087;1056;1066;1078;438.9;367.2;390.7;420.7;AEDCA*BEEBACBCBCCDCAAEDCAECACACBCABBB*ECDEBAB;ACCDECBABADBBCECBCEDCABBEDBDAAAACAADADEACBDAB;AEDCBB*CADEBCCCADEACEDECEADABBBACBCACDECACABB;CEDCACDCACBDCBCBAECBCDBEACACCBDCEBCABDBBDABCE;0;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;80;120;100;120;80;500;D;A;B;A;4;B;A;C;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210057816045;2022;3;M;1;2;1;2;0;2;1;0;;;;;;;;2700300;Arapiraca;27;AL;1;1;1;1;1086;1055;1065;1076;469.1;418.9;342.7;620;ABDAAEBBEDDBCDDCEACABCDBCDBEABBEECAADDBDEECDE;ACBADBBADBDDEAEBAEDBBDEACACDABAEECBDDCADABEEE;BCDDEBEDAACACAEABDBBAABCDABEEDDADBAABADCDCAAD;BDACABBBBAEDACEBCAEBCABDDBBCBEAADDEEABCCEEBDB;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;120;200;120;120;120;680;C;D;A;A;4;F;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
210056503282;2022;3;M;1;1;1;1;1;1;;0;;;;;;;;3528502;Mairiporã;35;SP;0;1;1;0;;1055;1065;;;517.1;568.6;;;DEABAAEBACADECBEBBCAAAEBBEBCADCDBCCCBBCDAADBD;DDBDEEBEAEABDDBBBDCEDAEECCBECBAABDBDADADEAEEE;;0;;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;;1;120;120;120;120;0;480;F;F;D;F;3;O;A;E;E;D;C;B;B;B;A;B;A;B;D;A;A;E;B;B;B
210057390561;2022;2;F;1;1;1;2;0;3;1;0;3304557;Rio de Janeiro;33;RJ;4;1;1;3304557;Rio de Janeiro;33;RJ;1;1;1;1;1087;1056;1066;1078;459.6;520.6;466.4;353.2;ACEBADABDADBECAEBBCECBADCABDCEAAEBDBCBCADABEB;DCEABECDADDABEAACAEEADACBADDADCACCADDDBAAAEDB;ABEDBCDECADCCECACDCBECAEAEAACAEAEDECDBAADBBCD;EBAADDBEACBCEDDDCCBEBEDDBADECBAACBDBBCBDBEECA;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;160;200;160;160;140;820;H;F;C;D;5;N;A;D;E;D;A;C;B;B;A;B;A;B;E;A;A;E;A;B;B
210055234353;2022;4;F;1;1;1;1;1;1;;0;;;;;;;;2304202;Crato;23;CE;1;1;1;1;1088;1058;1067;1077;489.1;558.6;590.2;478.7;BCDBCCBCDDEBBAEBAABBEADCBBEBCBCCABEBADDBBBECA;DDDAAEDEAEBBCDDDACACDBDEABDDDABBABDDEDBABCBDE;CDBCDBAABDBDBEEEABEAEDEAAAACBBEBEACBDCBEDBCCD;CECABADACCBABBCCABBDBDBCEDBABCACBBECCCCCCECDD;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;160;200;160;180;180;880;C;D;C;B;5;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;D;A;B;B
210056608517;2022;13;F;2;3;1;1;16;1;;0;;;;;;;;2111300;São Luís;21;MA;1;1;1;1;1088;1058;1067;1077;446;406.5;404.7;382.3;CDCCADCACBAAEBCEBBBDEBDEAEACBEAEDECCAEADADCEA;BBABBECACBBECDBAEBEDBEDCAEBDEBDAAEEBEACAEDDCE;CDEEBCEEDDBCBCAEAEBBBAECDEAACBCCBDEAEBADABCDC;EDBABECAACAEACECEBEABAAEADBCDDADCDEEDADAEADEC;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;120;120;120;120;100;580;A;A;A;A;4;C;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
